Time (microseconds),Ia,Ib,Ic,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
2683333.33,0.0979910865426064,-0.319716572761536,-0.00731615396216512,0.200000002980232,-0.200000002980232,0.179474174976349,-0.173004657030106
2688888.89,-0.21907351911068,-0.160960555076599,0.136387214064598,0.200000002980232,-0.200000002980232,0.14106673002243,-0.169041588902473
2694444.44,-0.196274563670158,0.104883685708046,-0.0676011592149735,0.200000002980232,-0.200000002980232,0.101253278553486,-0.151080772280693
2700000.00,-0.031583521515131,-0.0671781599521637,-0.253281086683273,0.200000002980232,-0.200000002980232,0.0885378643870354,-0.109944440424442
2705555.56,0.111080124974251,-0.316433131694794,-0.0420302227139473,0.200000002980232,-0.200000002980232,0.161992251873016,-0.196715101599693
2711111.11,-0.289006322622299,-0.0908195674419403,0.1564661860466,0.200000002980232,-0.200000002980232,0.199263632297516,-0.137345254421234
2716666.67,-0.143469005823135,0.0814164951443672,-0.0787807404994965,0.200000002980232,-0.200000002980232,0.0931602716445923,-0.0969650223851204
2722222.22,-0.0684524178504944,-0.0510428287088871,-0.257198959589005,0.200000002980232,-0.200000002980232,0.0542322471737862,-0.121209271252155
2727777.78,0.113120846450329,-0.360027015209198,-0.106492228806019,0.200000002980232,-0.200000002980232,0.153556659817696,-0.226204320788383
2733333.33,-0.219746708869934,-0.147986054420471,0.181926980614662,0.200000002980232,-0.200000002980232,0.161208942532539,-0.191516518592834
2738888.89,-0.25817134976387,0.0759342834353447,-0.0845945701003075,0.200000002980232,-0.200000002980232,0.0977492704987526,-0.16638445854187
2744444.44,-0.0220354646444321,-0.0197075940668583,-0.241856962442398,0.200000002980232,-0.200000002980232,0.0742280706763268,-0.12809719145298
2750000.00,0.127753302454948,-0.3155297935009,0.0446550361812115,0.200000002980232,-0.200000002980232,0.215724885463715,-0.172850400209427
2755555.56,-0.194355443120003,-0.222234025597572,0.179800316691399,0.200000002980232,-0.200000002980232,0.125551000237465,-0.228301852941513
2761111.11,-0.283083319664001,0.111597284674644,-0.128011882305145,0.200000002980232,-0.200000002980232,0.143144264817238,-0.172858193516731
2766666.67,0.150019153952599,-0.0403781235218048,-0.207926407456398,0.200000002980232,-0.200000002980232,0.186295285820961,-0.089777447283268
2772222.22,0.0835873633623123,-0.321253001689911,0.00150975701399148,0.200000002980232,-0.200000002980232,0.192434534430504,-0.150661885738373
2777777.78,-0.189945861697197,-0.170820459723473,0.241143882274628,0.200000002980232,-0.200000002980232,0.153095319867134,-0.231749698519707
2783333.33,-0.248792365193367,0.0963349491357803,-0.086182713508606,0.200000002980232,-0.200000002980232,0.10917566716671,-0.169040873646736
2788888.89,-0.0849988460540771,-0.0604038648307323,-0.229018718004227,0.200000002980232,-0.200000002980232,0.0518050752580166,-0.0992096364498138
2794444.44,0.105297319591045,-0.338860929012299,0.00120965263340622,0.200000002980232,-0.200000002980232,0.207639664411545,-0.173971503973007
2800000.00,-0.0731106698513031,-0.2708640396595,0.158513844013214,0.200000002980232,-0.200000002980232,0.0270109362900257,-0.250395596027374
2805555.56,-0.378880053758621,0.0858510881662369,-0.04576301202178,0.200000002980232,-0.200000002980232,0.0892529636621475,-0.261794000864029
2811111.11,0.0490565411746502,-0.0223735589534044,-0.26261243224144,0.200000002980232,-0.200000002980232,0.136798590421677,-0.132239773869514
2816666.67,0.148593783378601,-0.183101564645767,-0.012707008048892,0.200000002980232,-0.200000002980232,0.10545115172863,-0.162946507334709
2822222.22,-0.221172317862511,-0.227819785475731,0.193578973412514,0.200000002980232,-0.200000002980232,0.144420206546783,-0.237379506230354
2827777.78,-0.233990341424942,0.0979161709547043,0.00176109827589244,0.200000002980232,-0.200000002980232,0.0547681301832199,-0.19856022298336
2833333.33,0.0758057981729507,-0.0382558293640614,-0.275911867618561,0.200000002980232,-0.200000002980232,0.161064729094505,-0.128712967038155
2838888.89,0.118687935173512,-0.32298082113266,-0.00121992640197277,0.200000002980232,-0.200000002980232,0.19587042927742,-0.178591355681419
2844444.44,-0.273090720176697,-0.209748566150665,0.202027976512909,0.200000002980232,-0.200000002980232,0.194059252738953,-0.225998073816299
2850000.00,-0.216087341308594,0.0778935775160789,-0.0787678956985474,0.200000002980232,-0.200000002980232,0.10045725107193,-0.141406401991844
2855555.56,0.0383158884942532,-0.0198430512100458,-0.278813540935516,0.200000002980232,-0.200000002980232,0.132643148303032,-0.140015602111816
2861111.11,0.132799401879311,-0.363151341676712,-0.00909657310694456,0.200000002980232,-0.200000002980232,0.214373156428337,-0.200924888253212
2866666.67,-0.184377163648605,-0.219021052122116,0.191639855504036,0.200000002980232,-0.200000002980232,0.124940060079098,-0.234083861112595
2872222.22,-0.254737883806229,0.0966535806655884,-0.132583573460579,0.200000002980232,-0.200000002980232,0.139654338359833,-0.150639802217484
2877777.78,0.058410182595253,-0.0415527373552322,-0.254432111978531,0.200000002980232,-0.200000002980232,0.141995593905449,-0.115357503294945
2883333.33,0.0534155480563641,-0.329195231199265,-0.0296225938946009,0.200000002980232,-0.200000002980232,0.184157177805901,-0.141745626926422
2888888.89,-0.141991481184959,-0.270132541656494,0.1938686221838,0.200000002980232,-0.200000002980232,0.0902770161628723,-0.260624647140503
2894444.44,-0.269719392061234,0.0745090842247009,-0.0646123588085175,0.200000002980232,-0.200000002980232,0.0946667790412903,-0.179499268531799
2900000.00,0.061731118708849,-0.053662545979023,-0.255072504281998,0.200000002980232,-0.200000002980232,0.146788969635963,-0.112145386636257
2905555.56,0.105971440672874,-0.376662939786911,0.0362664759159088,0.200000002980232,-0.200000002980232,0.252568066120148,-0.170165374875069
2911111.11,-0.204225867986679,-0.180844947695732,0.192121744155884,0.200000002980232,-0.200000002980232,0.15324567258358,-0.205186650156975
2916666.67,-0.1786819845438,0.0866206660866737,0.0148675534874201,0.200000002980232,-0.200000002980232,0.0472311303019524,-0.156039327383041
2922222.22,0.0346400439739227,-0.0352841839194298,-0.253085047006607,0.200000002980232,-0.200000002980232,0.129075586795807,-0.115600317716599
2927777.78,0.145389780402184,-0.428038090467453,-0.0287456884980202,0.200000002980232,-0.200000002980232,0.251081526279449,-0.22347292304039
2933333.33,-0.231948241591454,-0.283331483602524,0.203678086400032,0.200000002980232,-0.200000002980232,0.151782691478729,-0.272653818130493
2938888.89,-0.240629702806473,0.0910317227244377,-0.0296910610049963,0.200000002980232,-0.200000002980232,0.0816426575183868,-0.176208078861237
2944444.44,0.0718028396368027,-0.0225507654249668,-0.281073778867722,0.200000002980232,-0.200000002980232,0.153647303581238,-0.138460978865623
2950000.00,0.186251536011696,-0.363301038742065,-0.0291649214923382,0.200000002980232,-0.200000002980232,0.211169630289078,-0.235046848654747
2955555.56,-0.20440511405468,-0.20750829577446,0.145057007670403,0.200000002980232,-0.200000002980232,0.135088905692101,-0.194684565067291
2961111.11,-0.27350851893425,0.0620224662125111,-0.0582724586129189,0.200000002980232,-0.200000002980232,0.0864197015762329,-0.176235422492027
2966666.67,0.0726423412561417,-0.0401860252022743,-0.18335035443306,0.200000002980232,-0.200000002980232,0.126138105988503,-0.0768007710576057
2972222.22,0.120353952050209,-0.316271036863327,-0.0352540276944637,0.200000002980232,-0.200000002980232,0.180650442838669,-0.175863891839981
2977777.78,-0.207927137613297,-0.321020931005478,0.214166983962059,0.200000002980232,-0.200000002980232,0.129987180233002,-0.301835417747498
2983333.33,-0.301569789648056,0.0870612785220146,-0.0880200490355492,0.200000002980232,-0.200000002980232,0.117003716528416,-0.182855173945427
2988888.89,0.0680469125509262,0.0594019070267677,-0.269080728292465,0.200000002980232,-0.200000002980232,0.131066665053368,-0.17909549176693
2994444.44,0.127610743045807,-0.237593650817871,0.0289558544754982,0.200000002980232,-0.200000002980232,0.15887913107872,-0.139707744121552
3000000.00,-0.178849413990974,-0.201284512877464,0.143711730837822,0.200000002980232,-0.200000002980232,0.120705373585224,-0.187379822134972
3005555.56,-0.270376205444336,0.134231105446815,-0.0779873579740524,0.200000002980232,-0.200000002980232,0.144019454717636,-0.190326690673828
3011111.11,0.0482224635779858,-0.0572825707495213,-0.259092956781387,0.200000002980232,-0.200000002980232,0.14644367992878,-0.103479191660881
3016666.67,0.152462899684906,-0.325685530900955,-0.0524375550448895,0.200000002980232,-0.200000002980232,0.183973729610443,-0.210140094161034
3022222.22,-0.163546368479729,-0.209111914038658,0.219023749232292,0.200000002980232,-0.200000002980232,0.149490743875504,-0.237427607178688
3027777.78,-0.281594455242157,0.112525701522827,-0.107058480381966,0.200000002980232,-0.200000002980232,0.142990559339523,-0.176501870155334
3033333.33,0.0485581234097481,-0.152238547801971,-0.269033402204514,0.200000002980232,-0.200000002980232,0.173864245414734,-0.0456973984837532
3038888.89,0.143738880753517,-0.32914987206459,-0.0383497513830662,0.200000002980232,-0.200000002980232,0.192697644233704,-0.196773290634155
3044444.44,-0.185459092259407,-0.213035181164742,0.183304786682129,0.200000002980232,-0.200000002980232,0.138236373662949,-0.215178564190865
3050000.00,-0.257281929254532,0.0721390694379807,-0.0850490257143974,0.200000002980232,-0.200000002980232,0.106969654560089,-0.158559933304787
3055555.56,0.0298230219632387,-0.0151680260896683,-0.265163630247116,0.200000002980232,-0.200000002980232,0.126031056046486,-0.134959876537323
3061111.11,0.182802766561508,-0.298618376255035,-0.057402104139328,0.200000002980232,-0.200000002980232,0.163012504577637,-0.22641284763813
3066666.67,-0.215557262301445,-0.250463992357254,0.210139870643616,0.200000002980232,-0.200000002980232,0.165831327438354,-0.250010788440704
3072222.22,-0.259208858013153,0.100517362356186,-0.0579953528940678,0.200000002980232,-0.200000002980232,0.114004425704479,-0.177291303873062
3077777.78,0.0544614754617214,-0.0135870510712266,-0.288408070802689,0.200000002980232,-0.200000002980232,0.155775681138039,-0.140248984098434
3083333.33,0.126689225435257,-0.345022767782211,0.0297455806285143,0.200000002980232,-0.200000002980232,0.239520072937012,-0.1573346555233
3088888.89,-0.196226686239243,-0.201680183410645,0.264333605766296,0.200000002980232,-0.200000002980232,0.181078433990479,-0.242905363440514
3094444.44,-0.206375256180763,0.0926697179675102,-0.0388141609728336,0.200000002980232,-0.200000002980232,0.0918922200798988,-0.151074096560478
3100000.00,0.037066325545311,0.0255995132029057,-0.31619593501091,0.200000002980232,-0.200000002980232,0.118920005857944,-0.186525031924248
3105555.56,0.131911292672157,-0.312128871679306,-0.0848905742168427,0.200000002980232,-0.200000002980232,0.167153343558311,-0.195485725998878
3111111.11,-0.173895955085754,-0.328296482563019,0.234981074929237,0.200000002980232,-0.200000002980232,0.126237541437149,-0.31381967663765
3116666.67,-0.237362653017044,0.0782226771116257,-0.0448256134986877,0.200000002980232,-0.200000002980232,0.0937009006738663,-0.157967448234558
3122222.22,0.040631752461195,0.000890908064320683,-0.269018620252609,0.200000002980232,-0.200000002980232,0.137409627437592,-0.138514250516891
3127777.78,0.137208715081215,-0.352763384580612,-0.0153328301385045,0.200000002980232,-0.200000002980232,0.220268547534943,-0.182530879974365
3133333.33,-0.210863128304482,-0.232888787984848,0.206657811999321,0.200000002980232,-0.200000002980232,0.165805995464325,-0.235726341605186
3138888.89,-0.268255293369293,0.0764608979225159,-0.0587368421256542,0.200000002980232,-0.200000002980232,0.100017890334129,-0.173636630177498
3144444.44,0.106341078877449,-0.0307420920580626,-0.272680073976517,0.200000002980232,-0.200000002980232,0.188216254115105,-0.112404190003872
3150000.00,0.163739576935768,-0.322291612625122,0.0181186981499195,0.200000002980232,-0.200000002980232,0.221368312835693,-0.183955878019333
3155555.56,-0.19028177857399,-0.249090999364853,0.216190963983536,0.200000002980232,-0.200000002980232,0.154925733804703,-0.248168915510178
3161111.11,-0.255592405796051,0.0917312130331993,-0.041027195751667,0.200000002980232,-0.200000002980232,0.102628782391548,-0.174099519848824
3166666.67,0.0457172654569149,0.00346241658553481,-0.228308871388435,0.200000002980232,-0.200000002980232,0.117261946201324,-0.124152600765228
3172222.22,0.148219496011734,-0.311259359121323,-0.0045202886685729,0.200000002980232,-0.200000002980232,0.202350184321404,-0.176706120371819
3177777.78,-0.193738639354706,-0.222574323415756,0.301218420267105,0.200000002980232,-0.200000002980232,0.19961866736412,-0.270740628242493
3183333.33,-0.264147907495499,0.104009591042995,-0.00603549228981137,0.200000002980232,-0.200000002980232,0.0953361839056015,-0.198201656341553
3188888.89,0.0384527482092381,-0.0159840527921915,-0.323695510625839,0.200000002980232,-0.200000002980232,0.16024324297905,-0.156383514404297
3194444.44,0.125956654548645,-0.301233202219009,-0.00861255638301373,0.200000002980232,-0.200000002980232,0.197146400809288,-0.15728072822094
3200000.00,-0.200458019971848,-0.22291561961174,0.198153272271156,0.200000002980232,-0.200000002980232,0.164386123418808,-0.219690397381783
3205555.56,-0.273959517478943,0.0265255235135555,-0.138557583093643,0.200000002980232,-0.200000002980232,0.11671344190836,-0.135025650262833
3211111.11,0.0343199968338013,0.0217692777514458,-0.333465814590454,0.200000002980232,-0.200000002980232,0.151341408491135,-0.183331921696663
3216666.67,0.152333155274391,-0.359036356210709,-0.0383963733911514,0.200000002980232,-0.200000002980232,0.204849481582642,-0.193277314305305
3222222.22,-0.190255403518677,-0.232480257749557,0.169802159070969,0.200000002980232,-0.200000002980232,0.141047194600105,-0.211465060710907
3227777.78,-0.256641864776611,0.0942720845341682,-0.0142263863235712,0.200000002980232,-0.200000002980232,0.0930465012788773,-0.188841864466667
3233333.33,0.0333012975752354,-0.00840340834110975,-0.281462550163269,0.200000002980232,-0.200000002980232,0.143731147050858,-0.135326027870178
3238888.89,0.174034640192986,-0.312182664871216,-0.0275227483361959,0.200000002980232,-0.200000002980232,0.202944174408913,-0.194933205842972
3244444.44,-0.190685376524925,-0.176915660500526,0.230602040886879,0.200000002980232,-0.200000002980232,0.183428645133972,-0.203475818037987
3250000.00,-0.291634619235992,0.0626040399074554,-0.0802591070532799,0.200000002980232,-0.200000002980232,0.107737869024277,-0.178138181567192
3255555.56,0.0658926740288734,0.0357032716274261,-0.279081761837006,0.200000002980232,-0.200000002980232,0.146267771720886,-0.169439971446991
3261111.11,0.130062222480774,-0.36865621805191,-0.0210639331489801,0.200000002980232,-0.200000002980232,0.230390787124634,-0.172670140862465
3266666.67,-0.183087453246117,-0.25268292427063,0.222369149327278,0.200000002980232,-0.200000002980232,0.155920386314392,-0.251996755599976
3272222.22,-0.287590950727463,0.0879654288291931,-0.0350119955837727,0.200000002980232,-0.200000002980232,0.107765018939972,-0.193044647574425
3277777.78,0.0521058738231659,-0.029121046885848,-0.290849179029465,0.200000002980232,-0.200000002980232,0.170205265283585,-0.125264540314674
3283333.33,0.144195422530174,-0.333309262990952,-0.0162581391632557,0.200000002980232,-0.200000002980232,0.217376545071602,-0.172670751810074
3288888.89,-0.222805887460709,-0.248658925294876,0.255894511938095,0.200000002980232,-0.200000002980232,0.200974673032761,-0.258569449186325
3294444.44,-0.288397580385208,0.0750600099563599,-0.0539850331842899,0.200000002980232,-0.200000002980232,0.1048943400383,-0.191339552402496
3300000.00,0.0538796000182629,-0.0265563111752272,-0.259210735559464,0.200000002980232,-0.200000002980232,0.153511807322502,-0.111818090081215
3305555.56,0.143702939152718,-0.323658645153046,-0.0840093567967415,0.200000002980232,-0.200000002980232,0.179680407047272,-0.200943887233734
3311111.11,-0.198275417089462,-0.257301777601242,0.217773646116257,0.200000002980232,-0.200000002980232,0.169843688607216,-0.246062248945236
3316666.67,-0.36834180355072,0.0780495032668114,-0.0375787243247032,0.200000002980232,-0.200000002980232,0.116620853543282,-0.240881770849228
3322222.22,0.0041524157859385,0.00192627240903676,-0.237289294600487,0.200000002980232,-0.200000002980232,0.107604280114174,-0.12307471036911
3327777.78,0.13596498966217,-0.275641322135925,-0.168200671672821,0.200000002980232,-0.200000002980232,0.100859358906746,-0.223186120390892
3333333.33,-0.145632684230804,-0.334244072437286,0.222429528832436,0.200000002980232,-0.200000002980232,0.116384863853455,-0.309558570384979
3338888.89,-0.273152083158493,0.0702512189745903,-0.0431683175265789,0.200000002980232,-0.200000002980232,0.102308794856071,-0.17521545290947
3344444.44,0.0119742397218943,0.0323842018842697,-0.282675355672836,0.200000002980232,-0.200000002980232,0.121405459940434,-0.162312045693398
3350000.00,0.170150265097618,-0.341835767030716,-0.0485185533761978,0.200000002980232,-0.200000002980232,0.215856194496155,-0.203471377491951
3355555.56,-0.0884151235222816,-0.255464613437653,0.250724315643311,0.200000002980232,-0.200000002980232,0.121739998459816,-0.276214241981506
