Time (microseconds),Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
145687500.00,0.319542557001114,-0.347345262765884,0.5,-0.5,0.80351710319519,-1.01373076438904
145895625.00,0.318563610315323,-0.346034079790115,0.5,-0.5,0.799474954605103,-1.05567824840546
146103750.00,0.317531615495682,-0.345000565052032,0.5,-0.5,0.810157358646393,-1.05249094963074
146311875.00,0.316396474838257,-0.343950688838959,0.5,-0.5,0.83382385969162,-1.05087566375732
146520000.00,0.315558612346649,-0.342935591936111,0.5,-0.5,0.816174864768982,-1.0463879108429
146728125.00,0.314285695552826,-0.341847896575928,0.5,-0.5,0.870661318302155,-1.05115962028503
146936250.00,0.312813520431519,-0.34144327044487,0.5,-0.5,0.959902763366699,-0.940736651420593
147144375.00,0.311793088912964,-0.34127140045166,0.5,-0.5,0.97852349281311,-0.795965671539307
147352500.00,0.310861468315125,-0.340189039707184,0.5,-0.5,0.987795352935791,-0.805285334587097
147560625.00,0.310255616903305,-0.339187830686569,0.5,-0.5,0.936364471912384,-0.801618099212646
147768750.00,0.309440821409225,-0.337854981422424,0.5,-0.5,0.920441746711731,-0.849923610687256
147976875.00,0.308713912963867,-0.336554437875748,0.5,-0.5,0.890674114227295,-0.895824790000916
148185000.00,0.307822942733765,-0.335532635450363,0.5,-0.5,0.89021098613739,-0.89493191242218
148393125.00,0.307077080011368,-0.334265053272247,0.5,-0.5,0.869578957557678,-0.936653971672058
148601250.00,0.305935233831406,-0.333296120166779,0.5,-0.5,0.912439346313477,-0.932599723339081
148809375.00,0.305276393890381,-0.332210898399353,0.5,-0.5,0.876964509487152,-0.947108447551727
149017500.00,0.304269731044769,-0.331249624490738,0.5,-0.5,0.901741683483124,-0.939810395240784
149225625.00,0.303240150213242,-0.330352991819382,0.5,-0.5,0.931696057319641,-0.924562811851501
149433750.00,0.30193418264389,-0.329810261726379,0.5,-0.5,1.01253688335419,-0.846018254756927
149641875.00,0.300985306501389,-0.329734236001968,0.5,-0.5,1.03681612014771,-0.6923987865448
149850000.00,0.301546305418015,-0.327276915311813,0.5,-0.5,0.81144392490387,-0.932166039943695
150058125.00,0.300917327404022,-0.326291292905808,0.5,-0.5,0.784808039665222,-0.933329463005066
150266250.00,0.300345122814178,-0.325064390897751,0.5,-0.5,0.744419813156128,-0.970683455467224
150474375.00,0.299570679664612,-0.324320793151855,0.5,-0.5,0.742387771606445,-0.933566033840179
150682500.00,0.298947393894196,-0.323073834180832,0.5,-0.5,0.712468683719635,-0.979784309864044
150890625.00,0.298282504081726,-0.32207065820694,0.5,-0.5,0.694989383220673,-0.989459812641144
151098750.00,0.297419846057892,-0.320809245109558,0.5,-0.5,0.708341240882874,-1.04078447818756
151306875.00,0.296749353408813,-0.319847047328949,0.5,-0.5,0.693515479564667,-1.04289662837982
151515000.00,0.295914500951767,-0.318897902965546,0.5,-0.5,0.707635521888733,-1.03922176361084
151723125.00,0.29506653547287,-0.318015336990356,0.5,-0.5,0.729020297527313,-1.02795112133026
151931250.00,0.293860495090485,-0.317285180091858,0.5,-0.5,0.810309410095215,-0.990455329418182
152139375.00,0.291531652212143,-0.318658530712128,0.5,-0.5,0.90235698223114,-0.84323263168335
